,name,url,type,text
0,Alfie,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/alfie/9102/,dogs,"Alfie is a Pomeranian X of 7 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/alfie/9102/ dogeDancin"
1,Annabelle,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/annabelle/8719/,dogs,"Annabelle is a Lurcher of 4 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/annabelle/8719/ dogeDancin"
2,Arush,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/arush/9312/,dogs,"Arush is a German Shepherd of 12 months, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/arush/9312/ dogeDancin"
3,Bella,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/bella/9352/,dogs,"Bella is a American Bulldog of 5 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/bella/9352/ dogeDancin"
4,Bringo,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/bringo/9274/,dogs,"Bringo is a Dogue de Bordeaux of 4 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/bringo/9274/ dogeDancin"
5,Buttons,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/buttons/9362/,dogs,"Buttons is a Staffordshire Bull Terrier X of 4 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/buttons/9362/ dogeDancin"
6,Caesar,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/caesar/8953/,dogs,"Caesar is a Staffordshire Bull Terrier of 5 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/caesar/8953/ dogeDancin"
7,CJ,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/cj/9365/,dogs,"CJ is a Border Collie of 7 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/cj/9365/ dogeDancin"
8,Cleo,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/cleo/9255/,dogs,"Cleo is a Staffordshire Bull Terrier of 8 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/cleo/9255/ dogeDancin"
9,Coral ,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/coral/9120/,dogs,"Coral is a Lurcher of 4 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/coral/9120/ dogeDancin"
10,Crystal,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/crystal/9339/,dogs,"Crystal is a Staffordshire Bull Terrier of 13 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/crystal/9339/ dogeDancin"
11,Dahlia ,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/dahlia/8925/,dogs,"Dahlia is a Bulldog of 3 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/dahlia/8925/ dogeDancin"
12,Dorset,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/dorset/9367/,dogs,"Dorset is a Lurcher of 13 months, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/dorset/9367/ dogeDancin"
13,Dot,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/dot/9396/,dogs,"Dot is a Bulldog X of 2 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/dot/9396/ dogeDancin"
14,Fergie,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/fergie/9380/,dogs,"Fergie is a Shih Tzu of 5 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/fergie/9380/ dogeDancin"
15,Gem,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/gem/9329/,dogs,"Gem is a Labrador of 4 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/gem/9329/ dogeDancin"
16,Gomez,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/gomez/7706/,dogs,"Gomez is a Lurcher of 6 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/gomez/7706/ dogeDancin"
17,Gypsy,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/gypsy/9035/,dogs,"Gypsy is a Staffordshire Bull Terrier of 11 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/gypsy/9035/ dogeDancin"
18,Hachi,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/hachi/7175/,dogs,"Hachi is a Akita X of 7 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/hachi/7175/ dogeDancin"
19,Lacey,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/lacey/7674/,dogs,"Lacey is a Bull Terrier cross of 3 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/lacey/7674/ dogeDancin"
20,Loki,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/loki/9383/,dogs,"Loki is a Husky of 23 months, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/loki/9383/ dogeDancin"
